FID,ID_1,RASTERVALU,NEAR_DIST
11815,133,30.976398467999999,66.373224016699993
11816,133,31.010128021200000,67.363869150900001
11817,133,31.000370025599999,68.354514285600004
11818,133,30.950717925999999,69.345159420300007
11819,133,30.881271362300001,70.335804554600003
11820,133,30.911979675300000,71.326449689300006
11821,133,30.905813217199999,72.317094823600002
11822,133,30.874685287500000,73.307739958300004
11823,133,30.703779220600001,74.298385092499998
11824,133,30.681919097900000,75.289030227200001
11825,133,30.639554977400000,76.279675361900004
11826,133,30.617843627900001,77.270320496200000
11827,133,30.828735351599999,78.260965630900003
11828,133,31.168998718299999,79.251610766100001
11829,133,31.400512695300002,80.242255899900002
11830,133,31.703966140700000,81.232901035099999
11831,133,32.369262695300002,82.223546169800002
11832,133,33.011783599899999,83.214191303999996
11833,133,33.534820556600003,84.204836438699999
11834,133,33.990242004400002,85.195481573500004
11835,133,34.590873718300003,86.186126707699998
11836,133,34.858081817600002,87.176771842400001
11837,134,0.534327626228000,0.000000000000000
11838,134,0.575106322765000,0.990645131920000
11839,134,0.701705873013000,1.981290265240000
11840,134,0.640461087227000,2.971935397620000
11841,134,0.737964630127000,3.962580529540000
11842,134,0.753692865372000,4.953225661920000
11843,134,0.831264555454000,5.943870793850000
11844,134,0.910416662693000,6.934515926700000
11845,134,0.969755887985000,7.925161059080000
11846,134,1.077756166460000,8.915806191470001
11847,134,1.142965197560000,9.906451323850000
11848,134,1.191486239430000,10.897096456200000
11849,134,1.260130286220000,11.887741588600001
11850,134,1.277734398840000,12.878386721000000
11851,134,1.333955883980000,13.869031853399999
11852,134,1.392473340030000,14.859676985800000
11853,134,1.556326985360000,15.850322118199999
11854,134,1.702047586440000,16.840967250500000
11855,134,1.910345315930000,17.831612383400000
11856,134,2.056339263920000,18.822257515299999
11857,134,2.501670360570000,19.812902647700000
11858,134,2.782725095750000,20.803547780100001
11859,134,2.926948308940000,21.794192912500002
11860,134,4.105407714840000,22.784838045299999
11861,134,6.823691844940000,23.775483177700000
11862,134,8.183411598210000,24.766128309199999
11863,134,10.676838874800000,25.756773442499998
11864,134,10.676838874800000,26.747418574899999
11865,134,12.532888412500000,27.738063707300000
11866,134,14.965652465800000,28.728708839199999
11867,134,15.558619499200001,29.719353972000000
11868,134,16.776905059800001,30.709999103900000
11869,134,18.353153228800000,31.700644236300001
11870,134,19.763669967700000,32.691289368699998
11871,134,21.472627639799999,33.681934501100002
11872,134,23.229938507100002,34.672579633500000
11873,134,26.066997528100000,35.663224765899997
11874,134,28.688520431499999,36.653869898300002
11875,134,29.473773956300001,37.644515030599997
11876,134,29.920923233000000,38.635160163000002
11877,134,30.597595214799998,39.625805295399999
11878,134,30.774610519399999,40.616450427799997
11879,134,30.961505889900000,41.607095560600001
11880,134,30.761501312299998,42.597740692999999
11881,134,30.808881759599998,43.588385824900001
11882,134,30.984144210800000,44.579030957299999
11883,134,30.402431488000001,45.569676089300003
11884,134,30.249538421600001,46.560321222600002
11885,134,30.246816635100000,47.550966355000000
11886,134,30.281949996900000,48.541611486900003
11887,134,30.263936996500000,49.532256619700000
11888,134,30.236154556300001,50.522901751600003
11889,134,30.320795059200002,51.513546884000000
11890,134,30.306261062600001,52.504192016399998
11891,134,30.326841354399999,53.494837148800002
11892,134,30.396583557100001,54.485482281199999
11893,134,30.507425308199998,55.476127413599997
11894,134,30.603057861300002,56.466772546000001
11895,134,30.811395645099999,57.457417678399999
11896,134,30.812896728500000,58.448062810700002
11897,134,30.463092803999999,59.438707943099999
11898,134,30.442260742199998,60.429353075500003
11899,134,30.435319900500001,61.419998207900001
11900,134,30.450370788600001,62.410643340299998
11901,134,30.484525680499999,63.401288473100003
11902,134,30.544546127299999,64.391933605000006
11903,134,30.686668396000002,65.382578737900005
11904,134,30.977031707799998,66.373223870299995
11905,134,31.045078277599998,67.363869002700000
11906,134,31.075546264600000,68.354514134599995
